@relation pm10_data

@attribute PM-10 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
61,0.103448,0.422222,0.25,0.333333,0.30819,0.301724,1,0.517241
46,0.114943,0.366667,0.3,0.259259,0.30819,0.301724,1,0.517241
68,0.068966,0.3,0.25,0.37037,0.30819,0.301724,1,0.517241
51,0.068966,0.388889,0.35,0.185185,0.30819,0.301724,1,0.517241
62,0.045977,0.366667,0.4,0.111111,0.30819,0.301724,1,0.517241
66,0.137931,0.333333,0.3,0.185185,0.30819,0.301724,1,0.517241
35,0.287356,0.077778,0.1,0.222222,0.269397,0.293103,0.941176,0.469828
45,0.149425,0.155556,0.2,0.296296,0.269397,0.293103,0.941176,0.469828
34,0.195402,0.2,0.25,0.185185,0.269397,0.293103,0.941176,0.469828
26,0.16092,0.277778,0.2,0.296296,0.269397,0.293103,0.941176,0.469828
41,0.137931,0.255556,0.3,0.111111,0.269397,0.293103,0.941176,0.469828
36,0.206897,0.222222,0.25,0.222222,0.269397,0.293103,0.941176,0.469828
34,0.16092,0.111111,0.2,0.296296,0.269397,0.293103,0.941176,0.469828
38,0.229885,0.233333,0.25,0.259259,0.269397,0.293103,0.941176,0.469828
45,0.218391,0.222222,0.2,0.222222,0.269397,0.293103,0.941176,0.469828
33,0.206897,0.122222,0.3,0.222222,0.269397,0.293103,0.941176,0.469828
48,0.264368,0.166667,0.2,0.148148,0.269397,0.293103,0.941176,0.469828
31,0.321839,0.088889,0.3,0.185185,0.269397,0.293103,0.941176,0.469828
35,0.218391,0.2,0.15,0.222222,0.269397,0.293103,0.941176,0.469828
49,0.183908,0.311111,0.25,0.296296,0.269397,0.293103,0.941176,0.469828
44,0.229885,0.211111,0.2,0.148148,0.273707,0.198276,0.941176,0.505747
27,0.149425,0.122222,0.2,0.296296,0.273707,0.198276,0.941176,0.505747
34,0.172414,0.277778,0.2,0.333333,0.273707,0.198276,0.941176,0.505747
29,0.172414,0.277778,0.25,0.222222,0.273707,0.198276,0.941176,0.505747
45,0.091954,0.3,0.3,0.111111,0.273707,0.198276,0.941176,0.505747
34,0.149425,0.177778,0.35,0.259259,0.273707,0.198276,0.941176,0.505747
48,0.172414,0.311111,0.25,0.296296,0.273707,0.198276,0.941176,0.505747
37,0.195402,0.266667,0.25,0.333333,0.273707,0.198276,0.941176,0.505747
46,0.16092,0.388889,0.3,0.259259,0.273707,0.198276,0.941176,0.505747
32,0.137931,0.3,0.3,0.148148,0.273707,0.198276,0.941176,0.505747
29,0.264368,0.177778,0.25,0.185185,0.273707,0.198276,0.941176,0.505747
46,0.126437,0.211111,0.2,0.37037,0.273707,0.198276,0.941176,0.505747
36,0.241379,0.111111,0.1,0.222222,0.273707,0.198276,0.941176,0.505747
18,0.16092,0.3,0.2,0.222222,0.273707,0.198276,0.941176,0.505747
22,0.172414,0.277778,0.2,0.222222,0.301724,0.215517,0.735294,0.597701
34,0.206897,0.255556,0.15,0.296296,0.301724,0.215517,0.735294,0.597701
32,0.172414,0.266667,0.25,0.185185,0.301724,0.215517,0.735294,0.597701
43,0.137931,0.266667,0.25,0.111111,0.301724,0.215517,0.735294,0.597701
32,0.08046,0.233333,0.2,0.222222,0.301724,0.215517,0.735294,0.597701
33,0.264368,0.177778,0.2,0.148148,0.301724,0.215517,0.735294,0.597701
45,0.126437,0.211111,0.2,0.37037,0.301724,0.215517,0.735294,0.597701
43,0.206897,0.244444,0.2,0.259259,0.301724,0.215517,0.735294,0.597701
44,0.241379,0.211111,0.25,0.148148,0.301724,0.215517,0.735294,0.597701
31,0.149425,0.133333,0.15,0.259259,0.301724,0.215517,0.735294,0.597701
48,0.16092,0.366667,0.3,0.222222,0.301724,0.215517,0.735294,0.597701
38,0.264368,0.1,0.1,0.185185,0.301724,0.215517,0.735294,0.597701
37,0.206897,0.244444,0.25,0.333333,0.301724,0.215517,0.735294,0.597701
32,0.206897,0.133333,0.35,0.222222,0.301724,0.215517,0.735294,0.597701
38,0.275862,0.2,0.25,0.296296,0.342672,0.267241,0,0.354885
47,0.264368,0.2,0.2,0.333333,0.342672,0.267241,0,0.354885
34,0.367816,0.088889,0.2,0.185185,0.342672,0.267241,0,0.354885
48,0.206897,0.311111,0.3,0.259259,0.342672,0.267241,0,0.354885
25,0.275862,0.166667,0.2,0.185185,0.342672,0.267241,0,0.354885
22,0.206897,0.277778,0.2,0.259259,0.342672,0.267241,0,0.354885
36,0.264368,0.2,0.15,0.259259,0.342672,0.267241,0,0.354885
40,0.287356,0.088889,0.1,0.185185,0.342672,0.267241,0,0.354885
37,0.183908,0.244444,0.25,0.148148,0.342672,0.267241,0,0.354885
42,0.310345,0.166667,0.2,0.148148,0.342672,0.267241,0,0.354885
30,0.195402,0.1,0.15,0.222222,0.342672,0.267241,0,0.354885
32,0.218391,0.133333,0.35,0.296296,0.342672,0.267241,0,0.354885
45,0.195402,0.166667,0.15,0.333333,0.342672,0.267241,0,0.354885
31,0.218391,0.2,0.2,0.222222,0.342672,0.267241,0,0.354885
38,0.172414,0.166667,0.4,0.296296,0.239224,0.284483,0.941176,0.337644
49,0.206897,0.255556,0.25,0.333333,0.239224,0.284483,0.941176,0.337644
38,0.310345,0.066667,0.05,0.185185,0.239224,0.284483,0.941176,0.337644
48,0.298851,0.155556,0.2,0.148148,0.239224,0.284483,0.941176,0.337644
40,0.218391,0.244444,0.2,0.222222,0.239224,0.284483,0.941176,0.337644
31,0.344828,0.077778,0.2,0.185185,0.239224,0.284483,0.941176,0.337644
38,0.218391,0.233333,0.2,0.222222,0.239224,0.284483,0.941176,0.337644
49,0.218391,0.288889,0.3,0.259259,0.239224,0.284483,0.941176,0.337644
35,0.172414,0.111111,0.15,0.296296,0.239224,0.284483,0.941176,0.337644
50,0.195402,0.277778,0.2,0.333333,0.239224,0.284483,0.941176,0.337644
44,0.172414,0.255556,0.25,0.148148,0.239224,0.284483,0.941176,0.337644
47,0.137931,0.211111,0.2,0.37037,0.239224,0.284483,0.941176,0.337644
24,0.195402,0.288889,0.2,0.222222,0.239224,0.284483,0.941176,0.337644
32,0.252874,0.166667,0.25,0.148148,0.239224,0.284483,0.941176,0.337644
24,0.183908,0.277778,0.2,0.222222,0.221983,0.37069,0.941176,0.436782
37,0.241379,0.233333,0.15,0.259259,0.221983,0.37069,0.941176,0.436782
50,0.195402,0.322222,0.25,0.259259,0.221983,0.37069,0.941176,0.436782
45,0.137931,0.2,0.15,0.333333,0.221983,0.37069,0.941176,0.436782
34,0.172414,0.111111,0.2,0.259259,0.221983,0.37069,0.941176,0.436782
53,0.264368,0.2,0.2,0.111111,0.221983,0.37069,0.941176,0.436782
28,0.344828,0.1,0.15,0.148148,0.221983,0.37069,0.941176,0.436782
37,0.206897,0.233333,0.2,0.222222,0.221983,0.37069,0.941176,0.436782
38,0.218391,0.133333,0.35,0.222222,0.221983,0.37069,0.941176,0.436782
36,0.333333,0.055556,0.05,0.185185,0.221983,0.37069,0.941176,0.436782
50,0.218391,0.255556,0.2,0.259259,0.221983,0.37069,0.941176,0.436782
36,0.218391,0.211111,0.25,0.148148,0.221983,0.37069,0.941176,0.436782
43,0.229885,0.233333,0.2,0.259259,0.221983,0.37069,0.941176,0.436782
45,0.16092,0.266667,0.3,0.111111,0.221983,0.37069,0.941176,0.436782
