@relation pm25_data

@attribute PM-2.5 numeric
@attribute O3 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute temperatures numeric
@attribute wind_velocity numeric
@attribute wind_direction numeric
@attribute relative_humidity numeric

@data
11,0.244186,0.391892,0.166667,0.065574,0.235,0.381818,0.882353,0.342365
14,0.232558,0.256757,0.277778,0.04918,0.235,0.381818,0.882353,0.342365
16,0.267442,0.27027,0.055556,0.032787,0.235,0.381818,0.882353,0.342365
24,0.093023,0.459459,0.277778,0.04918,0.2325,0.381818,0.882353,0.447044
19,0.151163,0.378378,0.388889,0.065574,0.2325,0.381818,0.882353,0.447044
19,0.267442,0.202703,0.333333,0.04918,0.2325,0.381818,0.882353,0.447044
17,0.151163,0.472973,0.277778,0.065574,0.2325,0.381818,0.882353,0.447044
17,0.186047,0.297297,0.277778,0.065574,0.2325,0.381818,0.882353,0.447044
25,0.174419,0.391892,0.111111,0.032787,0.2325,0.381818,0.882353,0.447044
37,0.116279,0.486486,0.5,0.098361,0.2425,0.236364,0.676471,0.511084
38,0.093023,0.486486,0.277778,0.065574,0.2425,0.236364,0.676471,0.511084
44,0.186047,0.445946,0.166667,0.114754,0.2425,0.236364,0.676471,0.511084
29,0.104651,0.608108,0.333333,0.098361,0.2425,0.236364,0.676471,0.511084
38,0.151163,0.391892,0.444444,0.081967,0.2425,0.236364,0.676471,0.511084
40,0.162791,0.418919,0.388889,0.131148,0.2425,0.236364,0.676471,0.511084
48,0.116279,0.472973,0.5,0.065574,0.275,0.063636,0.676471,0.570197
49,0.162791,0.445946,0.388889,0.098361,0.275,0.063636,0.676471,0.570197
56,0.046512,0.567568,0.333333,0.065574,0.275,0.063636,0.676471,0.570197
58,0.162791,0.432432,0.333333,0.065574,0.275,0.063636,0.676471,0.570197
50,0.255814,0.378378,0.166667,0.04918,0.275,0.063636,0.676471,0.570197
43,0.104651,0.621622,0.333333,0.081967,0.275,0.063636,0.676471,0.570197
47,0.151163,0.391892,0.333333,0.04918,0.3175,0.163636,0,0.778325
21,0.255814,0.22973,0.333333,0.04918,0.3175,0.163636,0,0.778325
45,0.069767,0.486486,0.333333,0.04918,0.3175,0.163636,0,0.778325
32,0.27907,0.283784,0.166667,0.098361,0.3175,0.163636,0,0.778325
31,0.093023,0.594595,0.388889,0.098361,0.3175,0.163636,0,0.778325
39,0.127907,0.405405,0.5,0.065574,0.3175,0.163636,0,0.778325
22,0.313953,0.148649,0.166667,0.04918,0.26,0.609091,0.794118,0.444581
24,0.337209,0.175676,0.111111,0.032787,0.26,0.609091,0.794118,0.444581
21,0.313953,0.148649,0.277778,0.065574,0.26,0.609091,0.794118,0.444581
22,0.325581,0.162162,0.333333,0.04918,0.26,0.609091,0.794118,0.444581
18,0.325581,0.189189,0.222222,0.081967,0.26,0.609091,0.794118,0.444581
19,0.406977,0.081081,0.111111,0.065574,0.26,0.609091,0.794118,0.444581
5,0.337209,0.108108,0.111111,0.065574,0.1075,0.690909,0.794118,0.192118
5,0.383721,0.040541,0.055556,0.04918,0.1075,0.690909,0.794118,0.192118
7,0.313953,0.094595,0.111111,0.065574,0.1075,0.690909,0.794118,0.192118
8,0.348837,0.121622,0.055556,0.032787,0.1075,0.690909,0.794118,0.192118
5,0.27907,0.135135,0.111111,0.032787,0.1075,0.690909,0.794118,0.192118
